Age,Income,CreditScore,LoanAmount,Experience,Savings,TransactionCount,Approved
42,29853,509,54542,11,26316,32,0
50,119613,620,30651,14,89698,16,1
58,145900,624,119239,27,20960,53,1
58,114399,669,246416,17,35791,62,1
28,46792,571,298859,1,30216,80,0
47,84129,651,175378,12,168539,117,1
47,131019,707,170158,14,69427,88,1
54,99478,548,161130,19,117470,43,1
41,138811,653,275948,28,198119,55,1
50,139130,846,84200,28,78290,118,1
53,92298,792,125848,2,52014,77,1
48,56987,567,126022,18,140150,87,1
53,40850,549,197691,2,55519,87,0
25,37112,651,276453,13,9042,25,0
39,146789,518,82068,3,54052,80,1
24,49058,599,181445,10,19389,105,0
55,70420,559,184226,30,100961,28,1
37,63890,666,157103,31,73111,11,1
48,91017,701,244605,26,110058,19,1
50,72304,844,223047,29,98715,59,1
49,57921,645,269768,1,55733,90,0
26,130921,663,179741,8,39754,110,1
55,26524,741,114475,27,154696,21,1
57,125424,568,22282,30,90886,79,1
44,40048,674,185696,33,162753,31,0
49,60111,548,199510,14,94524,41,1
51,62904,607,240972,24,86006,114,1
55,79912,725,182777,7,29704,93,1
53,59008,660,188509,8,99913,10,1
41,25060,618,228944,31,99108,63,0
52,99666,648,139006,16,12493,67,1
43,108559,649,256440,34,74639,79,1
53,80337,792,224054,18,59383,92,1
23,135616,642,27461,28,139066,27,1
38,38350,659,120123,6,52234,15,0
45,49354,510,292660,27,183363,54,0
51,70186,637,168586,8,133674,106,1
23,53145,577,251496,27,10594,32,0
44,59020,576,187860,5,12371,32,0
52,111123,753,226821,28,52315,35,1
42,131667,757,212121,16,132251,86,1
43,100186,819,56027,15,84526,16,1
22,110469,790,193921,22,152698,88,1
47,45581,762,168930,30,91005,53,1
22,113929,584,235234,2,110573,36,1
46,48051,645,99003,20,143202,35,1
37,76474,822,203467,25,142900,106,1
53,116748,541,59758,21,62514,88,1
29,139618,624,102279,11,188736,45,1
59,94626,666,35434,12,153955,118,1
49,31960,740,215119,10,179131,64,1
46,60772,779,265754,15,179004,73,1
55,46520,687,103555,7,197341,100,1
45,74481,801,148379,1,80986,66,1
44,61408,518,236992,29,90959,78,1
33,119006,567,259511,29,7035,70,1
27,82134,717,196806,11,114767,11,1
56,45491,601,88803,9,176817,64,1
40,26341,541,244448,10,22241,106,0
21,69623,787,195251,14,57975,89,1
28,115327,666,222514,15,159226,96,1
36,25338,608,265404,16,161697,47,0
34,96431,535,137961,25,181022,89,1
32,37254,731,37297,1,61396,87,1
43,76860,728,284155,11,123920,38,1
35,36344,663,140234,25,149403,35,0
48,26750,572,64014,22,199999,44,1
54,79756,635,263166,17,91226,88,1
22,92957,569,198570,31,89719,76,1
52,130423,695,278864,2,68014,96,1
43,83053,768,293264,2,44346,38,1
42,95855,548,228559,29,75411,43,1
45,40896,815,111575,0,190550,106,1
42,80761,629,115040,29,148326,50,1
42,87552,504,168510,31,191806,50,1
26,145075,526,199587,27,164693,32,1
35,102454,659,25744,20,81441,80,1
57,143681,648,234892,12,51121,12,1
53,115600,763,170871,26,65197,67,1
28,147732,729,244834,6,89577,41,1
25,137153,699,140906,21,99634,40,1
59,147926,549,221260,9,178503,91,1
24,52935,566,240931,14,105211,52,1
26,62641,799,273593,14,140909,16,1
52,54711,557,258746,3,185066,114,0
50,95342,758,27597,31,148687,10,1
55,131896,841,223199,22,6466,70,1
36,37182,825,228434,5,35771,23,1
33,112833,629,177489,23,88886,61,1
50,81276,714,135598,19,70911,105,1
39,44541,671,270100,19,156818,15,0
37,119457,757,278589,11,93422,112,1
39,107310,601,204233,32,196811,19,1
48,69813,708,272388,27,78369,80,1
46,62198,790,153241,7,6893,99,1
57,33820,785,235164,0,35573,107,0
46,49070,615,173124,21,101907,39,0
43,94768,763,224923,5,176946,109,1
29,36122,649,28036,20,104956,30,1
32,105559,799,51778,31,123580,69,1
21,98543,535,174245,34,169439,90,1
21,108441,832,181475,14,157271,106,1
54,66786,786,222747,4,96404,83,1
52,119934,802,38800,5,62724,72,1
45,124804,810,251312,24,91133,51,1
21,31737,707,79500,28,172477,60,1
36,61062,605,187647,6,20989,73,0
59,79237,657,256527,12,33931,85,1
25,76571,620,130659,17,14290,65,1
42,50510,554,47716,1,174439,89,1
49,44426,511,22352,7,126136,50,1
23,62265,644,153004,10,84878,41,1
32,42850,635,28556,32,95477,24,1
46,143249,502,281973,26,131299,71,1
36,91150,643,156570,19,166205,36,1
57,112312,529,227190,11,110686,37,1
42,114613,736,70098,30,163124,90,1
49,99910,778,160641,26,112286,73,1
34,77375,847,267199,31,45475,119,1
48,146826,614,146060,9,87666,68,1
25,60435,603,207954,2,101622,67,0
50,121443,617,221465,26,193728,11,1
25,82132,504,150544,34,140705,45,1
32,103945,747,20340,30,153376,80,1
36,107050,820,195021,14,112573,22,1
46,120402,620,102302,15,51546,24,1
46,27983,785,242740,12,12008,98,0
41,122241,648,20138,34,53291,96,1
59,45662,583,139619,10,163477,69,0
56,48510,730,119931,20,41386,31,1
53,103187,787,176951,10,95909,72,1
50,65998,660,57772,29,156899,99,1
57,81846,771,78478,34,38040,106,1
43,119071,537,46762,21,65354,84,1
30,31640,725,164355,30,83543,83,1
25,69547,641,214994,13,23157,34,0
56,79620,791,190492,23,40315,110,1
54,40317,650,94965,31,40932,57,1
51,140608,613,197912,31,157236,52,1
30,32564,736,195767,14,150486,47,1
39,52345,565,256281,34,150399,50,1
52,138824,840,104754,2,118880,54,1
21,119223,757,97988,15,137018,97,1
25,148372,748,170023,4,19693,49,1
24,104273,830,152379,20,32241,119,1
36,99859,822,100388,9,120194,106,1
44,105765,679,259779,18,100790,26,1
36,135017,689,226846,24,151612,97,1
22,99038,653,190047,3,77255,110,1
48,148618,695,152212,28,177275,66,1
52,77393,810,283852,18,161153,11,1
47,91081,761,96021,1,197933,105,1
40,127650,642,179380,9,16350,71,1
44,54430,841,64789,24,191584,97,1
32,100532,815,46086,19,61809,18,1
55,52788,600,299003,18,106894,77,1
53,120505,743,27684,22,102557,90,1
53,73543,511,111088,23,178904,26,1
57,38919,738,66099,10,164441,59,1
32,94346,548,86093,33,36728,103,1
23,121122,541,180761,27,22576,49,1
21,64974,665,33893,4,165073,67,1
53,132309,581,86418,4,88384,84,1
30,41371,790,145074,20,5390,94,0
49,70084,657,150351,11,50436,30,1
33,54629,715,211083,3,16569,27,0
32,76184,657,58635,19,149101,64,1
51,86916,633,115071,24,27490,38,1
22,98972,566,92805,13,50875,33,1
55,87187,835,284598,10,10867,83,1
43,37984,506,202170,31,85820,118,0
37,58039,513,213226,10,104515,26,1
46,110431,572,164063,17,14121,27,1
28,108691,662,88344,26,6539,51,1
49,83606,565,56593,17,153099,93,1
46,35616,846,56304,22,132402,110,1
30,127665,629,206292,10,79229,54,1
46,130373,705,133613,20,144993,91,1
54,75072,775,220410,4,55435,26,1
27,49574,755,38354,22,146382,82,1
24,28430,765,26142,24,68965,23,1
31,144123,524,203043,9,116048,58,1
49,37676,780,204482,21,101444,38,1
56,35816,752,170575,18,74922,104,1
45,57733,809,145438,0,102799,13,1
41,110680,788,68456,6,98948,91,1
56,27050,663,120167,3,148314,29,0
30,134996,594,290160,0,13947,56,0
57,58933,769,284528,14,197888,116,1
29,49951,820,213392,11,53785,117,1
44,57413,609,122239,21,124963,18,1
55,59801,835,131431,21,5507,86,1
55,80619,809,60510,16,163223,88,1
56,57913,737,200005,28,16618,36,1
38,137573,524,141668,13,79286,24,1
59,144076,640,262700,19,21122,101,1
52,65600,616,44045,32,143426,110,1
44,82775,524,201948,14,114598,28,1
43,115816,578,110102,11,167051,99,1
52,115093,567,119441,19,91436,61,1
57,137590,672,178175,29,188846,35,1
32,60400,511,269877,2,141109,98,0
33,29494,787,156917,27,33633,35,1
43,105688,627,237770,25,29495,35,1
45,147744,595,138325,29,69550,55,1
55,114431,591,39337,12,41483,101,1
50,99691,640,173385,12,118181,58,1
37,122419,530,282420,1,39069,91,1
40,133730,833,163016,1,143442,105,1
45,68001,519,101442,25,124873,62,1
42,92364,645,69847,10,121843,12,1
33,149988,815,78653,7,76947,75,1
39,70028,659,237144,21,175205,106,1
56,132434,848,273661,19,100761,51,1
32,122659,542,97842,7,118753,28,1
39,62573,753,292647,28,136764,26,1
32,25806,629,104761,25,33926,117,0
29,149343,559,293734,29,104782,42,1
27,81638,650,161958,16,109700,85,1
48,131506,786,183864,19,78984,58,1
34,54757,504,276910,15,179462,65,1
51,59636,765,140356,6,54593,72,1
39,105097,844,237228,15,80609,12,1
36,73280,629,62727,26,10209,116,1
25,49262,766,28068,22,131700,58,1
55,105435,677,136923,23,142605,64,1
32,87211,752,31390,8,91597,35,1
45,79842,555,126752,34,12211,108,1
41,81979,582,166110,19,14927,81,1
56,139524,598,244790,16,122333,61,1
43,106470,648,41281,30,160666,109,1
36,63197,828,74189,7,81382,16,1
59,66844,655,282093,14,144005,55,1
59,89754,689,142115,30,108780,55,1
34,126868,762,28605,29,45696,109,1
51,59157,579,269415,19,72616,25,1
25,102129,751,175394,11,142161,33,1
55,65042,596,61869,16,192620,70,1
43,86665,759,52955,29,162195,63,1
49,140512,759,81388,28,143869,71,1
31,141953,602,261324,18,55013,10,1
38,107856,539,30207,10,144418,58,1
32,52376,772,238401,33,169744,34,1
29,134049,600,179292,6,153725,19,1
30,80554,807,225157,33,54556,89,1
37,39199,720,42031,19,128723,25,1
58,143533,807,91312,23,31140,67,1
27,106412,623,79766,9,6184,81,1
33,75948,730,163521,31,170565,38,1
29,98781,677,207771,14,180220,112,1
47,97750,562,257199,19,160918,101,1
22,91262,615,256731,2,116361,15,1
25,142424,690,255841,7,158267,25,1
49,71600,561,131041,22,10606,29,1
57,101898,755,136185,10,140028,89,1
58,87483,506,197164,7,21555,80,1
39,43297,654,30350,28,95385,114,1
28,55448,591,247230,29,154762,87,1
21,51172,513,281570,9,63502,52,1
42,67874,728,88487,27,184921,35,1
37,32657,585,168694,12,162419,99,0
27,109386,632,143853,31,108844,87,1
45,50425,682,255062,25,96321,80,1
24,51685,561,253077,21,54056,42,1
56,147000,718,43782,3,199923,35,1
26,137855,745,149936,30,103234,54,1
51,49578,729,173245,17,46850,93,1
39,53831,578,142258,23,32843,72,1
59,32906,648,131668,22,67320,76,0
47,86413,637,298710,21,34793,61,1
30,79028,813,158262,1,175588,77,1
46,32287,564,58333,30,153929,35,1
39,58660,512,231977,10,24627,84,0
59,100758,712,109571,27,66822,11,1
23,85504,741,140263,31,188320,23,1
33,84720,712,45235,4,60798,117,1
48,127979,680,20159,9,180188,39,1
40,59701,837,163217,23,80318,58,1
48,108300,672,182993,34,109186,21,1
28,135177,659,167309,22,92902,99,1
59,42674,663,127507,16,164629,53,1
21,108560,687,34743,0,76334,42,1
23,136543,690,248174,30,111719,22,1
33,48874,807,66101,30,128099,87,1
48,68642,755,262717,33,178686,97,1
45,148867,682,141534,8,17720,107,1
53,122820,616,250604,21,62608,117,1
58,90160,781,207450,12,112449,35,1
26,42602,695,222193,24,107828,30,1
52,128320,533,255422,17,131613,37,1
41,113801,551,166721,11,77095,57,1
36,50931,611,188785,16,110924,109,1
41,119377,751,224535,14,101452,49,1
31,54192,581,196481,14,92593,75,1
57,71542,731,199838,14,171964,115,1
56,67520,726,66154,12,111975,82,1
55,89772,732,289160,16,82242,96,1
39,83762,720,74238,31,121041,88,1
40,75106,541,109081,8,131202,86,1
38,106121,520,267644,19,82606,32,1
34,50559,541,219775,25,128769,90,1
35,130595,612,82551,26,123542,57,1
51,58742,604,230695,20,111438,11,1
21,94669,691,173512,17,5924,93,1
23,105199,516,186277,12,56322,29,1
36,46754,619,100811,15,162550,68,1
43,28972,628,274840,8,76042,55,0
31,95831,629,254104,11,51418,12,1
32,137217,559,39008,18,198289,64,1
30,66873,547,222346,6,105699,21,1
52,119661,528,52402,34,95140,49,1
36,131532,596,204456,17,16781,75,1
28,34903,509,279994,15,141587,109,0
58,28020,741,156643,3,122358,87,0
32,66755,813,133550,24,41133,25,1
44,110956,731,111218,31,102628,92,1
48,111988,776,153296,12,81946,43,1
28,70648,783,199767,16,90058,53,1
48,128537,702,261060,5,145167,119,1
56,34516,746,260016,18,156542,15,1
46,137863,789,52441,12,48129,86,1
28,140005,763,258038,25,13531,73,1
48,27396,713,190201,13,42038,109,1
48,109082,699,251324,30,92939,31,1
57,44129,578,112122,3,47674,27,0
56,26591,842,64760,7,132572,21,1
47,36303,843,163252,24,34831,61,1
37,55561,672,118538,12,62174,103,1
29,96719,568,35372,31,16279,60,1
53,143618,586,241035,27,174292,113,1
40,117108,600,131022,29,65610,80,1
33,124616,507,74040,2,188791,105,1
48,149165,832,222440,27,58051,57,1
49,111231,699,98356,2,61652,28,1
33,32314,586,298355,33,70524,15,0
55,142071,542,287986,15,11470,93,1
26,44623,608,299652,21,177870,36,0
38,92675,651,173077,31,58473,62,1
25,137992,516,74575,7,155952,116,1
45,121826,632,170043,7,49439,110,1
22,90082,647,86914,5,19308,57,1
30,108624,776,269134,13,96563,16,1
50,130228,731,87055,31,40081,68,1
25,58130,813,107697,34,186455,78,1
53,76756,727,126239,9,14837,20,1
21,122624,638,255469,2,188223,24,1
38,51292,710,143106,11,123128,73,1
52,136785,527,287499,30,172896,12,1
31,111206,550,22257,28,169145,78,1
41,94274,760,176044,4,117651,32,1
46,27469,760,131715,24,102624,62,1
45,78947,849,46654,30,162371,46,1
42,47534,507,231841,20,194933,18,0
47,88620,819,40808,19,35063,24,1
33,73874,637,72389,21,74453,12,1
53,74708,537,138581,3,107166,102,1
54,99553,610,147927,12,19506,79,1
55,93344,719,54773,19,118604,26,1
21,74138,836,202240,12,31026,35,1
41,79302,722,234764,16,163744,30,1
26,72638,635,77505,32,174489,81,1
48,103249,755,38135,0,57413,30,1
37,130865,828,110887,14,70066,20,1
25,27719,548,142118,12,195285,47,0
51,47890,791,174626,16,55971,81,1
25,102236,823,265739,23,163353,115,1
58,61509,577,299067,7,118978,97,1
23,67534,604,82261,26,164163,44,1
43,127302,668,80948,22,55494,23,1
57,117241,716,260891,7,108864,23,1
57,43787,618,184074,7,154682,19,0
30,73845,689,286357,25,137151,21,1
30,82932,754,161365,12,100386,47,1
39,117124,765,82507,27,182823,117,1
37,116659,648,77134,24,91126,119,1
41,58062,663,153172,15,191504,43,1
34,100713,639,261225,1,167023,50,1
29,112263,846,213069,17,85863,19,1
21,120756,757,268933,16,83291,26,1
33,85461,768,56609,29,130659,26,1
24,100418,680,194037,12,195944,76,1
21,91672,659,159088,31,12235,71,1
52,59832,787,233666,28,87733,104,1
54,56966,787,202885,29,67712,10,1
48,97545,725,251440,17,157545,21,1
51,37987,510,277803,12,130849,112,0
28,62311,509,187093,20,84823,13,1
59,56575,770,175159,29,109215,51,1
46,88852,772,32828,20,37230,22,1
54,26007,682,152473,16,89573,107,1
23,95981,652,297337,18,45644,115,1
32,101242,814,243461,14,184736,94,1
21,72517,833,194863,8,50203,95,1
25,135022,623,259719,9,71677,13,1
50,54257,613,228475,30,161497,91,1
50,112272,777,284889,22,128246,78,1
37,67207,712,286010,29,89817,28,1
43,38281,671,183317,32,74806,11,0
35,86246,787,91354,8,47814,21,1
57,26435,673,71374,0,75219,90,0
41,123875,612,134397,34,185718,83,1
34,125686,621,268552,10,175956,107,1
22,116357,531,49336,33,100345,15,1
31,51660,721,75350,15,105088,17,1
59,30084,618,89561,8,74322,60,1
58,107197,538,81240,31,26650,20,1
54,38507,767,171165,14,99242,72,1
58,97595,732,66607,11,145262,66,1
54,108807,517,206740,32,43196,21,1
38,70539,648,201196,13,175521,82,1
50,140953,648,84110,7,175733,11,1
35,32491,625,204626,7,34709,17,0
47,137831,801,172008,26,85428,20,1
54,75192,737,24426,11,14943,62,1
58,105395,634,239911,0,179312,109,1
53,148797,650,48151,10,181832,19,1
44,88888,735,293452,30,26042,94,1
35,98609,723,260853,16,48894,93,1
50,34077,702,274595,32,142941,17,1
37,142440,755,196743,31,197150,45,1
25,147901,585,110306,28,61759,102,1
49,45953,649,245180,20,110973,115,0
24,101919,734,22204,20,49306,85,1
30,139682,844,112769,22,113369,23,1
37,146041,521,107265,5,191443,63,1
30,92889,847,72428,21,156990,94,1
37,48821,784,53870,7,33379,95,1
40,62567,768,123547,34,125667,30,1
44,140374,757,255990,10,139034,117,1
25,49860,528,69067,23,149923,59,1
54,46195,712,258083,20,122626,103,1
26,102475,782,132217,1,181819,48,1
22,115874,549,118934,18,130180,29,1
33,112266,594,162980,27,57349,97,1
31,46427,587,229329,16,192428,96,0
43,125732,543,277354,5,150817,16,1
36,52083,777,81215,18,10730,18,1
51,112046,670,206907,27,149993,10,1
31,82372,688,128048,1,24023,35,1
36,148786,683,189530,3,181421,47,1
28,69064,502,197241,21,131796,47,1
24,32813,690,158731,25,86533,70,1
24,56598,617,259977,12,88286,53,1
45,137718,518,133688,31,46979,95,1
23,118106,522,240460,16,27837,53,1
52,52082,529,206823,18,151069,83,1
23,54241,794,229987,34,109975,71,1
47,121214,607,289150,27,181111,15,1
49,69569,780,269243,0,25923,26,0
52,36745,627,94218,17,13876,60,0
39,51029,728,216416,32,65973,47,1
41,38025,610,52430,11,138959,33,1
25,126660,635,43091,7,199795,60,1
38,148395,685,277125,23,47422,19,1
48,39288,643,43989,15,56413,81,1
42,114186,571,95451,3,107484,30,1
41,31540,628,38990,26,138913,79,1
26,122768,760,270541,8,33756,94,1
21,106958,502,162105,15,76576,66,1
25,93878,603,298385,11,123248,48,1
32,66846,723,144932,30,15304,97,1
46,126148,819,288083,23,35341,42,1
54,100932,509,133000,13,140830,68,1
34,42482,801,198634,24,153082,27,1
46,48411,730,55063,33,132039,65,1
